B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,Group
-86,-200,-200,-81,-200,-200,-200,-200,-200,-200,-76,-82,-200,-200,-200,13
-88,-200,-200,-82,-200,-200,-200,-200,-200,-200,-71,-87,-200,-200,-200,1
-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,14
-200,-200,-200,-200,-81,-200,-200,-74,-71,-200,-200,-200,-74,-200,-200,8
-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-79,-200,18
-78,-200,-200,-200,-86,-200,-93,-200,-79,-80,-200,-200,-75,-200,-200,23
-85,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,20
-83,-200,-200,-200,-89,-200,-200,-97,-67,-92,-200,-200,-87,-200,-200,9
-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-79,-200,18
-85,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,20
-200,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-88,21
-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2
-86,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,15
-87,-200,-200,-200,-200,-93,-75,-98,-80,-89,-200,-200,-92,-200,-89,16
-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,7
-76,-200,-200,-200,-200,-93,-81,-94,-77,-89,-200,-200,-87,-200,-200,10
-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-90,-94,-200,-200,-200,4
-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-90,19
-200,-200,-200,-200,-200,-200,-200,-85,-95,-200,-200,-200,-78,-200,-200,11
-89,-200,-200,-200,-88,-200,-90,-91,-77,-80,-200,-200,-75,-200,-200,23
-88,-200,-200,-200,-93,-200,-200,-90,-65,-200,-200,-200,-93,-200,-200,9
-86,-91,-200,-79,-200,-200,-200,-200,-200,-200,-72,-92,-200,-200,-200,13
-89,-200,-200,-84,-200,-200,-200,-200,-200,-200,-70,-90,-200,-200,-200,1
-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-87,21
-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2
-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,14
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,7
-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,4
-82,-200,-200,-200,-200,-93,-74,-98,-79,-89,-200,-200,-88,-200,-89,16
-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-87,19
-87,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-79,-74,-200,18
-200,-200,-84,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,20
-87,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-79,-74,-200,18
-200,-200,-84,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,20
-82,-200,-200,-200,-200,-90,-79,-92,-74,-80,-200,-200,-85,-200,-200,10
-200,-200,-200,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,6
-80,-200,-200,-200,-88,-200,-200,-200,-76,-78,-200,-200,-73,-200,-200,23
-200,-200,-200,-200,-79,-200,-200,-73,-71,-200,-200,-200,-71,-200,-200,8
-86,-200,-200,-200,-91,-200,-200,-200,-66,-200,-200,-200,-95,-200,-200,9
-200,-200,-200,-200,-200,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,21
-200,-200,-200,-200,-96,-200,-200,-81,-85,-91,-200,-200,-84,-200,-200,11
-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,7
-94,-200,-200,-200,-200,-93,-83,-98,-84,-90,-200,-200,-88,-200,-89,16
-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,4
-89,-200,-200,-85,-200,-200,-200,-200,-200,-200,-92,-93,-200,-200,-200,15
