Group,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15
18,,,,,,,,,,,,,-81,-93,
18,,,,,,,,,,,,,-81,-93,
2,,,,-70,,,,,,,,,,,
22,,,,,,,,-87,,,,,-92,,
13,-86,,,-86,,,,,-95,,-86,-75,,,
5,-86,,,,,,,,-88,,,,,,
15,-89,,,-80,,,,,,,-85,-85,,,
9,-85,,,,-76,,,-83,-58,-91,,,-84,,
23,-78,,,,,,,-95,-73,-75,,,-69,,
20,,,-82,,,,,,,,,,,,
6,,,,,,,-53,,,,,,,-89,-83
7,-79,,,,,,,,,,,,,,
20,,,-82,,,,,,,,,,,,
4,-92,,,-86,,,,,,,-83,-87,,,
21,,,,,,,,,,,,,,,-88
3,,,,-71,,,,,,,,-89,,,
11,,,,,-90,,-89,-81,-92,-90,,,-74,,
19,,,,,,,-87,,,,,,,-92,-84
2,,,,-68,,,,,,,,,,,
9,-87,,,,-77,,,-89,-61,-91,,,-91,,
10,-80,,,,-89,-96,-88,-86,-74,-84,,,-82,,-92
14,,,,,,,-81,,,,,,,,
1,-88,,,,,,,,,,-77,,,,
6,,,,,,,-67,,,,,,,-88,
7,-81,,,,,,,,,,,,,,
4,,,,-84,,,,,,,-82,,,,
18,,,,,,,-87,,,,,,-81,,-81
3,,,,-69,,,,,,,,-91,,,
21,,,,,,,-68,,,,,,,,
18,,,,,,,-87,,,,,,-81,,-81
23,-75,,,,-88,,,,-77,-76,,,-70,,
8,,,,,-68,,,-85,-81,,,,-89,,
13,-85,,,-83,,,,,-88,,-78,-86,,,
19,,,,,,,-86,,,,,,,,-78
5,-86,,,,,,-88,,,,,,,,
20,,,-89,,,,,,,,,,,,
2,,,,-79,,,,,,,,,,,
16,-82,,,,-93,-83,-82,-92,-68,-84,,,-89,-92,-92
20,,,-89,,,,,,,,,,,,
9,-82,,,,-78,,,-83,-58,-94,,,-86,,
6,,,,,,,-65,,,,,,,-92,-86
19,,,,,,,,,,,,,,,-76
23,-77,,,,-93,,,,-83,-75,,,-74,,
11,,,,,,,,-79,-92,-93,,,-75,,
7,-87,,-92,,,,,,,,,,,,
15,-92,,,-83,,,,,,,-85,-88,,,
4,-91,,,-86,,,,,,,-87,,,,
21,,,,,,,,,,,,,,,
3,,,,-70,,,,,,,,-92,,,
10,-91,,,,-88,-92,-84,-86,-76,-80,,,-78,,-95
16,-84,,,,-91,-82,-85,-93,-71,-84,,,-91,-92,-92
1,-88,,,,,,,,,,-71,,,,
14,,,,,,,-81,,,,,,,,
22,,,,,-92,,,-90,-89,,,,-83,,
2,,,,-73,,,,,,,,,,,
6,-96,,,,,,-57,,,,,,-90,-97,-88
9,-84,,,,-78,,,-82,-58,-91,,,-86,,
18,,,,,,,,,,,,,-82,,-82
23,-73,,,,-89,,-96,-96,-81,-75,,,-70,,
18,,,,,,,,,,,,,-82,,-82
13,-81,,,-84,,,,,-90,,-87,-81,,,
5,-84,,,,,,,,,,,,,,
3,,,,-74,,,,,,,,,,,
4,-92,,,-84,,,,,,,-86,-86,,,
20,,,-79,,,,,,,,,,,,
21,,,,,,,-71,,,,,,,,
19,,,,,,,-85,,,,,,,,-76
8,,,,,-73,,,-79,-83,,,,-84,,
16,-87,,,,-91,-86,-86,-92,-75,-92,,,-91,-92,-92
6,,,,,,,-49,,-92,,,,,,-91
11,,,,,,,-90,-82,-91,-93,,,-76,,
2,,,,-82,,,,,,,,,,,
9,-85,,,,-77,,,-86,-58,-97,,,-84,,
3,-94,,,-84,,,,,,,,,,,
23,-76,,,,-92,,-94,-97,-82,-84,,,-73,,
20,,,-79,,,,,,,,,,,,
7,-91,,-89,,,,,,,,,,,,
10,-85,,,,,-88,-81,-87,-73,-80,,,-90,,
1,-86,,,,,,,,,,-72,-92,,,
4,-91,,,-86,,,,,,,-83,-86,,,
14,,,,,,,-80,,,,,,,,
7,-96,,,,,,,,,,,,,,
21,,,,,,,-71,,,,,,,,
15,-90,,,-82,,,,,,,-86,,,,
19,,,,,,,,,,,,,,,-84
16,-90,,,,-90,-82,-86,-92,-71,-92,,,-88,-92,-92
18,,,,,,,-86,,,,,,-78,-86,
6,,,,,,,-53,,-93,,,,,-89,-76
18,,,,,,,-86,,,,,,-78,-86,
2,,,,-77,,,,,,,,,,,
13,-82,,,-83,,,,,,,-77,-87,,,
5,-79,,,,,,-92,,,,,,,,
20,,,-80,,,,,,,,,,,,
9,-87,,,,-76,,,-81,-61,-90,,,-86,,
3,,,,-74,,,,,,,,,,,
20,,,-80,,,,,,,,,,,,
23,-79,,,,-89,,-95,-94,-74,-74,,,-73,,
7,-88,,,,,,,,,,,,,,
19,,,,,,,-83,,,,,,,,-87
21,,,,,,,-70,,,,,,,,-86
4,-91,,,-88,,,,,,,-83,-87,,,
11,,,,,-92,,-91,-82,-92,,,,-75,,
16,-90,,,,-88,-88,-74,-89,-75,-85,,,-88,-92,-92
6,,,,,,,-55,,,,,,,,-79
8,,,,,-66,,,-75,-92,,,,-81,,
2,,,,-79,,,,,,,,,,,
22,,,,,-88,,,-92,-101,-90,,,-65,,
3,,,,-78,,,,,,,,,,,
1,-87,,,,,,,,,,-77,-89,,,
10,-77,,,,,-91,-78,,-83,,,,-88,,
14,,,,,,,-79,,,,,,,,
9,-87,,,,-78,,,-85,-68,-90,,,-87,,
23,-75,,,,-91,,,-93,-73,-76,,,-72,,
7,-81,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,
4,-93,,,-87,,,,,,,-87,,,,
18,,,,,,,-84,,-89,,,,-77,,-76
18,,,,,,,-84,,-89,,,,-77,,-76
19,,,,,,,-87,,,,,,,,-83
13,-81,-94,,-88,,,,,-94,,-79,-76,,,
5,-85,,,,,,,,-90,,,,,,
6,,,,,,,-66,,,,,,,,-76
20,,,-79,,,,,,,,,,,,
16,-81,,,,-92,-83,-92,-90,-69,-85,,,-86,-92,-92
20,,,-79,,,,,,,,,,,,
15,-88,,,-81,,,,,,,-82,-87,,,
3,,,,-66,,,,,,,,,,,
2,,,,-77,,,,,,,,,,,
9,-85,,,,-77,,,-81,-59,-92,,,-92,,
23,-73,,,,-89,,-92,-93,-72,-82,,,-71,,
11,-93,,,,,,-91,-81,-91,-93,,,-74,,
21,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,
4,-91,,,-87,,,,,,,-84,-88,,,
6,-87,,,,,-91,-68,,,,,,,,
19,,,,,,,-85,,,,,,,,-84
1,-92,,,-86,,,,,,,-77,,,,
10,-86,,,,-97,,-80,-92,-77,-84,,,-89,,-90
16,-82,,,,-88,-87,-86,-90,-68,-83,,,-81,-92,-92
14,,,,,,,-80,,,,,,,,
3,,,,-72,,,,,,,,,,,
2,,,,-75,,,,,,,,,,,
8,,,,,-73,,,-73,-79,,,,-84,,
9,-84,,,,-77,,,-85,-58,-96,,,-85,,
18,,,,,,,,,-88,,,,,-85,-76
13,-85,,,-80,,,,,,,-93,-84,,,
5,-74,,,,,,,,-86,,,,,,
20,,,-80,,,,,,,,,,,,
23,-76,,,,-90,,,-97,-72,-76,,,-70,,
7,-84,,,,,,,,,,,,,,
18,,,,,,,,,-88,,,,,-85,-76
4,-93,,,-91,,,,,,,-85,-88,,,
6,,,,,,,-69,,,,,,,-84,
20,,,-80,,,,,,,,,,,,
19,,,,,,,-86,,,,,,,,-79
21,,,,,,,-71,,,,,,,,
16,-84,,,,-88,-87,-73,-88,-73,-89,,,-77,-92,-92
3,,,,-76,,,,,,,,,,,
22,,,,,,,,-84,-95,-91,,,-72,,
11,,,,,,,,-84,,-92,,,-75,,
2,,,,-74,,,,,,,,,,,
15,-91,,,-82,,,,,,,-85,-93,,,
9,-88,,,,-79,,,-87,-57,,,,-92,,
1,-82,,,-88,,,,,,,-83,-90,,,
21,,,,,,,-72,,,,,,,,-87
10,-88,,,,,-90,-85,,-73,-87,,,-74,,
14,,,,,,,-78,,,,,,,,
7,-78,,,,,,,,,,,,,,
6,,,,,,,-54,,,,,,,,
4,,,,-88,,,,,,,-88,,,,
23,-83,,,,-88,,-94,-93,-74,-74,,,-74,,
16,-89,,,,-91,-93,-72,-88,-73,-84,,,-91,-92,-92
19,,,,,,,-81,,,,,,,-91,-85
18,-89,,,,,,-78,,,,,,-79,-77,
20,,,-80,,,,,,,,,,,,
5,-90,,,,,,-92,,,,,,,,
13,-85,-93,,-85,,,,,,,-75,-87,,,
2,,,,-83,,,,,,,,,,,
18,-89,,,,,,-78,,,,,,-79,-77,
20,,,-80,,,,,,,,,,,,
8,,,,,-72,,,-73,-80,,,,-83,,
9,-86,,,,-79,,,-88,-62,-92,,,-84,,
21,,,,,,,-73,,,,,,,,
6,,,,,,,-54,,,,,,,,-79
7,-81,,,,,,,,,,,,,,
23,-77,,,,-97,,,-92,-80,-77,,,-74,,
4,,,,-85,,,,,,,-87,-87,,,
3,,,,-73,,,,,,,,,,,
11,,,,,,,-91,-79,-89,-95,,,-73,,
16,-87,,,,-91,-90,-76,-89,-76,-86,,,-81,-92,-92
19,,,,,,,,,,,,,,,-68
1,-89,,,-87,,,,,,,-75,,,,
3,,,,-78,,,,,,,,,,,
10,-73,,,,,-90,-74,,-82,,,,-83,,
2,,,,-76,,,,,,,,,,,
14,,,,,,,-81,,,,,,,,
21,,,,,,,-74,,,,,,,,
9,-86,,,,-82,,,-83,-62,-90,,,-88,,
6,,,,,,,-59,,,,,,,,-77
23,-78,,,,,,-92,-90,-71,-78,,,-75,,
7,-91,,,,,,,,,,,,,,
15,-88,,,-86,,,,,,,-80,-84,,,
4,,,,-85,,,,,,,-83,,,,
20,,,,,,,,,,,,,,,
22,,,,,-83,,,-86,,-91,,,-71,,
18,,,,,,,-74,,,,,,-76,,
5,-79,,,,,,-89,,-87,,,,,,
13,-80,-95,,-76,,,,,-93,,-78,-76,,,
20,,,,,,,,,,,,,,,
16,-82,,,,-91,-90,-79,-95,-69,-88,,,-88,-92,-92
3,,,,-83,,,,,,,,,,,
18,,,,,,,-74,,,,,,-76,,
19,,,,,,,-85,,,,,,,-89,-84
2,,,,-75,,,,,,,,,,,
21,,,,,,,-73,,,,,,,,
6,-95,,,,,,-59,,-93,,,,,-81,
9,-86,,,,-78,,,-94,-60,,,,-87,,
11,,,,,,,-94,-84,-88,,,,-76,,
8,,,,,-69,,,-87,-81,,,,-80,,
23,-79,,,,-95,,-90,-92,-76,-77,,,-70,,
3,,,,-76,,,,,,,,,,,
1,-82,,,-90,,,,,,,-70,-91,,,
4,,,,-86,,,,,,,-83,-89,,,
10,-73,,,,,,-83,-88,-70,-85,,,-83,,-89
16,-84,,,,-91,-88,-73,-85,-65,-87,,,-89,-92,-92
14,,,,,,,-80,,,,,,,,
2,,,,-73,,,,,,,,,,,
19,,,,,,,-85,,,,,,,,-71
6,,,,,,,-56,,-90,,,,,,
20,,,-87,,,,,,,,,,,,
9,-85,,,,-78,,,-88,-61,,,,-87,,
7,-80,,,,,,,,,,,,,,
21,,,,,,,-74,,,,,,,,-86
20,,,-87,,,,,,,,,,,,
5,-80,,,,,,-91,,-86,,,,,,
18,-92,,,,,,-78,,-91,,,,-71,-83,-81
13,-81,-95,,-85,,,,,-90,,-72,-83,,,
3,-93,,,-72,,,,,,,,,,,
23,-79,,,,-92,,-91,-90,-81,-79,,,-71,,
18,-92,,,,,,-78,,-91,,,,-71,-83,-81
7,-95,,,,,,,,,,,,,,
4,,,,-85,,,,,,,-96,-85,,,
16,-82,,,,-91,-87,-76,-85,-63,-86,,,-90,-92,-92
15,-88,,,-83,,,,,,,-83,-86,,,
11,,,,,,,-91,-80,-90,-90,,,-76,,
6,,,,,,,-70,,-94,,,,,,-82
2,,,,-78,,,,,,,,,,,
19,,,,,,,-84,,,,,,,,-89
1,-82,,,-88,,,,,,,-77,-88,,,
22,,,,,-95,,,-91,,,,,-68,,
10,-89,,,,,-84,-83,,-74,-86,,,-85,,
9,-87,,,,-81,,,-90,-68,-91,,,-87,,
14,,,,,,,-80,,,,,,,,
21,,,,,,,-72,,,,,,,,
8,,,,,-72,,,-88,-89,,,,-93,,
23,-75,,,,-91,,-92,-91,-70,-77,,,-70,,
7,-90,,,,,,,,,,,,,,
16,-87,,,,-94,-92,-76,-89,-67,-83,,,-84,-92,-92
4,,,,-87,,,,,,,-87,-92,,,
20,,,-85,,,,,,,,,,,,
5,-84,,,,,,-91,,,,,,,,
6,,,,,,-94,-71,,,,,,,,-81
20,,,-85,,,,,,,,,,,,
18,,,,,,,-76,,,,,,-77,-88,-80
13,-84,,,-77,,,,,-92,,-73,-78,,,
2,,,,-80,,,,,,,,,,,
19,,,,,,,-88,,,,,,,,-73
18,,,,,,,-76,,,,,,-77,-88,-80
21,,,,,,,-75,,,,,,,,
23,-80,,,,-90,,-91,-90,-85,-81,,,-70,,
7,-86,,,,,,,,,,,,,,
11,,,,,,,,-81,-92,,,,-76,,
4,-96,,,-90,,,,,,,-89,,,,
16,-84,,,,-94,-87,-74,-93,-71,-83,,,-86,-92,-92
1,-83,,,,,,,,,,-81,-89,,,
6,-92,,,,,,-59,,,,,,,,
10,-71,,,,,-88,-89,,-85,-91,,,-88,,
14,,,,,,,-80,,,,,,,,
15,-88,,,-83,,,,,,,-83,-94,,,
2,,,,-75,,,,,,,,,,,
21,,,,,,,,,,,,,,,
3,,,,-79,,,,,,,,,,,
3,,,,-70,,,,,,,,,,,
3,-95,,,-74,,,,,,,,-97,,,
19,,,,,,,-87,,,,,,,-88,-86
20,,,,,,,,,,,,,,,
16,-85,,,,-91,-84,-74,-92,-67,-83,,,-87,-92,-92
7,-85,,,,,,,,,,,,,,
8,,,,,-72,,,-78,-70,,,,-72,,
5,-84,,,,,,-90,,-88,,,,,,
20,,,,,,,,,,,,,,,
4,,,,-87,,,,,,,-86,-90,,,
23,-83,,,,-96,,-92,,-81,-81,,,-69,,
18,,,,,,,-76,,,,,,-76,-84,
13,-84,-97,,-75,,,,,,,-73,-78,,,
6,,,,,,,-58,,,,,,,,
18,,,,,,,-76,,,,,,-76,-84,
3,,,,-77,,,,,,,,,,,
2,,,,-74,,,,,,,,,,,
21,,,,,,,-71,,,,,,,,
11,,,,,,,-89,-82,,-89,,,-74,,
19,,,,,,,-89,,,,,,,,-70
1,-86,,,-89,,,,,,,-75,-87,,,
23,-78,,,,-90,,-92,,-79,-77,,,-69,,
22,-92,,,,-82,,,-91,-92,-90,,,-71,,
10,-81,,,,-94,-92,-76,,-92,,,,,,-94
7,-82,,,,,,,,,,,,,,
4,,,,-87,,,,,,,-82,-87,,,
14,,,,,,,-80,,,,,,,,
6,-95,,,,,-93,-59,,,,,,-98,,
9,-82,,,,-81,,,-84,-61,,,,-91,,
20,,,-82,,,,,,,,,,,,
3,,,,-87,,,,,,,,,,,
2,,,,-76,,,,,,,,,,,
9,-92,,,,-84,,,-88,-60,,,,-85,,
9,-84,,,,-81,,,-85,-71,-94,,,-86,,
21,,,,,,,-73,,,,,,,,
5,-86,,,,,,,,-88,,,,,,
20,,,-82,,,,,,,,,,,,
15,-87,,,-82,,,,,,,-85,-91,,,
13,-87,,,-84,,,,,-94,,-73,-83,,,
18,,,,,,,-76,,,,,,-81,,-81
19,,,,,,,-85,,,,,,,,-83
9,-86,,,,-80,,,-90,-60,-93,,,-92,,
23,-75,,,,-92,,,,-74,-78,,,-69,,
18,,,,,,,-76,,,,,,-81,,-81
7,-85,,-96,,,,,,,,,,,,
6,,,,,,-92,-58,,,,,,,-87,-80
4,,,,-85,,,,,,,-83,-88,,,
8,,,,,-72,,,-76,-69,,,,-78,,
3,,,,-73,,,,,,,,-93,,,
11,,,,,-95,,-92,-81,-95,,,,-79,,
21,,,,,,,,,,,,,,,
1,-85,,,-91,,,,,,,-78,-86,,,
2,,,,-78,,,,,,,,,,,
10,-90,,,,-87,-78,-81,-92,-80,-87,,,-84,,
9,-86,,,,-82,,,-89,-64,-89,,,-89,,
14,,,,,,,-81,,,,,,,,
19,,,,,,,-87,,,,,,,,-92
23,-74,,,,-89,,-93,-88,-73,-77,,,-73,,
6,,,,,,-94,-63,,,,,,,,
7,,,,,,,,,,,,,,,
4,,,,-87,,,,,,,-81,-87,,,
20,,,-84,,,,,,,,,,,,
20,,,-84,,,,,,,,,,,,
3,,,,,,,,,,,,-87,,,
16,-80,,,,-92,-89,-82,-88,-69,-82,,,-90,-92,-92
5,-84,,,,,,-91,,-91,,,,,,
21,,,,,,,-72,,,,,,,,
13,-88,,,-77,,,,,,,-79,-84,,,
18,,,,,,,-79,,,,,,-88,-73,-81
2,,,,-71,,,,,,,,,,,
18,,,,,,,-79,,,,,,-88,-73,-81
9,-86,,,,-92,,,-89,-71,-92,,,-90,,
6,,,,,,,-55,,,,,,,-89,
23,-75,,,,-90,,-94,-89,-76,-78,,,-68,,
11,,,,,,,-91,-82,-95,-97,,,-72,,
15,-88,,,-86,,,,,,,-85,-91,,,
7,-74,,-88,,,,,,,,,,,,
22,-95,,,,-82,,,-91,-93,-92,,,-68,,
19,,,,,,,-86,,,,,,,-90,
1,-84,,,,,,,,,,-74,-91,,,
4,,,,-89,,,,,,,-83,-84,,,
10,-83,,,,,-94,-76,-84,-72,-76,,,-79,,
16,-84,,,,-92,-85,-81,-88,-67,-88,,,-87,-92,-92
3,,,,-72,,,,,,,,-86,,,
8,,,,,-73,,,-77,-82,,,,-83,,
21,,,,,,,-74,,,,,,,,
14,,,,,,,-83,,,,,,,,
2,,,,-68,,,,,,,,,,,
20,-85,,,,,,,,,,,,,,
9,-93,,,,-82,,,-88,-70,-91,,,-90,,
6,-92,,,,,,-91,,,,,,-90,,-83
20,-85,,,,,,,,,,,,,,
5,-78,,,,,,-91,,-88,,,,,,
19,,,,,,,-90,,,,,,,,-77
4,-93,,,-88,,,,,,,-85,-87,,,
7,-82,,-93,,,,-86,,,,,,,,
13,-83,,,-86,,,,,-94,,-76,-75,,,
3,,,,-63,,,,,,,,,,,
18,,,,,,,-82,,,,,,-86,-84,-84
16,-83,,,,-89,-84,-69,-88,-68,-85,,,-85,-92,-92
18,,,,,,,-82,,,,,,-86,-84,-84
21,,,,,,,-76,,,,,,,,-88
2,,,,-70,,,,,,,,,,,
11,,,,,-90,,,-81,-87,-89,,,-74,,
23,-82,,,,-90,,,-94,-78,-80,,,-69,,
1,-87,,,-88,,,,,,,-74,-88,,,
6,,,,,,,-54,,,,,,,,
9,,,,,-78,,,-86,-65,,,,-88,,
10,-81,,,,,-81,-88,,-79,-90,,,-86,,
23,-76,,,,-94,,-89,,-72,-80,,,-67,,
14,,,,,,,-79,,,,,,,,
7,-76,,,,,,,,-94,,,,,,
4,,,,-87,,,,,,,,-86,,,
19,,,,,,,-90,,,,,,,,-74
16,-92,,,,-91,-88,-85,-88,-71,-85,,,-93,-92,-92
3,,,,,,,,,,,,,,,
20,,,-82,,,,,,,,,,,,
15,-88,,,-80,,,,,,,-87,-92,,,
21,,,,,,,-72,,,,,,,,
8,,,,,-73,,,-77,-85,,,,-81,,
20,,,-82,,,,,,,,,,,,
22,,,,,-87,,,-84,,,,,-69,,
2,,,,-71,,,,,,,,,,,
6,,,,,,,-54,,,,,,,,
5,-85,,,,,,-90,,,,,,,,
9,-86,,,,-78,,,-87,-71,,,,-86,,
13,-83,-93,,-77,,,,,-95,,-79,-82,,,
18,,,,,,,-84,,,,,,-92,-97,
3,-92,,,-77,,,,,,,,,,,
23,-77,,,,-94,,,-94,-79,-79,,,-68,,
18,,,,,,,-84,,,,,,-92,-97,
4,,,,-85,,,,,,,-88,-87,,,
19,,,,,,,-88,,,,,,,,-90
11,,,,,,,-91,-84,-90,,,,-78,,
1,-88,,,-92,,,,,,,-79,-89,,,
21,,,,,,,-74,,,,,,,,
16,-82,,,,-93,-88,-85,-88,-73,-84,,,-93,-92,-92
10,-79,,,,,,-85,,-84,,,,-90,,
6,-90,,,,,,-59,,,,,,,,
2,,,,-81,,,,,,,,,,,
14,,,,,,,-77,,,,,,,,
3,-88,,,-71,,,,,,,,,,,
7,,,-92,,,,,,-88,,,,,,
9,-87,,,,-81,,,-89,-72,,,,-93,,
20,,,-78,,,,,,,,,,,,
23,-78,,,,-91,,,,-73,-79,,,-68,,
20,,,-78,,,,,,,,,,,,
7,,,,,,,,,-90,,,,,,
4,,,,-85,,,,,-91,,-83,-86,,,
16,-82,,,,-93,-84,-80,-88,-76,-87,,,-84,-92,-92
19,,,,,,,-89,,,,,,,,-89
21,,,,,,,-73,,,,,,,,
5,-84,,,,,,-90,,,,,,,,
6,-93,,,,,,-56,,,,,,,,-92
13,-83,,,-80,,,,,-90,,-71,-90,,,
18,,,,,,,-86,,,,,,-90,,-82
8,,,,,-80,,,-73,-79,,,,-89,,
15,-88,,,-82,,,,,,,-90,-89,,,
2,,,,-78,,,,,,,,,,,
3,,,,-68,,,,,,,,-88,,,
18,,,,,,,-86,,,,,,-90,,-82
9,-88,,,,-78,,,-85,-68,-93,,,-90,,
1,-84,,,-94,,,,,,,-73,-90,,,
11,,,,,-90,,-92,-82,-89,,,,-74,,
10,-74,,,,,-95,-77,,,,-91,,-87,,
7,-79,,,,,,,,-90,,,,,,
4,,,,-88,,,,,,,-87,-86,,,
16,-89,,,,-88,-92,-76,-91,-70,-86,,,-84,-92,-92
21,,,,,,,-71,,,,,,,,
14,,,,,,,-77,,,,,,,,
6,,,,,,,-83,,,,,,-90,-84,-76
19,,,,,,,-81,,,,,,,,-87
3,,,,-62,,,,,,,,-93,,,
20,-83,,-79,,,,,,,,,,,,
2,,,,-80,,,,,,,,,,,
22,-92,,,,-86,,,-86,,-94,,,-66,,
23,-77,,,,-95,,,-94,-75,-77,,,-75,,
20,-83,,-79,,,,,,,,,,,,
9,-89,,,,-77,,,-84,-77,-93,,,-91,,
5,-82,,,,,,-88,,,,,,,,
23,-79,,,,-91,,-94,,-73,-80,,,-67,,
7,-77,,,,,,,,-92,,,,,,
4,,,,-88,,,,,,,-83,-89,,,
13,-84,-93,,-78,,,,,-91,,-73,-78,,,
18,,,,,,,-83,,,,,,-87,-86,
16,-81,,,,-89,-84,-75,-89,-67,-87,,,-86,-92,-92
6,-86,,,,,,-60,,,,,,,,-82
18,,,,,,,-83,,,,,,-87,-86,
19,,,,,,,-83,,,,,,,,-75
3,,,,-64,,,,,,,,-92,,,
1,-83,,,-91,,,,,,,-86,-92,,,
11,,,,,,,,-81,,-87,,,-82,,
2,,,,-71,,,,,,,,,,,
21,-93,,,,,,-73,,,,,,,,
8,,,,,-78,,,-70,-83,,,,-76,,
10,-83,,,,,-86,-80,,-88,-91,,,-87,,
15,-87,,,-85,,,,,,,-84,-90,,,
9,-92,,,,-77,,,-88,-72,-92,,,-87,,
14,,,,,,,-80,,,,,,,,
23,-79,,,,-88,,,-91,-71,-78,,,-68,,
21,,,,,,,-73,,,,,,,,
16,-81,,,,-95,-87,-84,-92,-69,-85,,,-90,-92,-92
4,,,,-83,,,,,,,-83,-88,,,
20,,,-80,,,,,,,,,,,,
6,-91,,,,,,-56,,,,,,,,
20,,,-80,,,,,,,,,,,,
3,,,,-66,,,,,,,,,,,
7,-77,,,,,,,,-90,,,,,,
19,,,,,,,-88,,,,,,,,-80
2,,,,-80,,,,,,,,,,,
5,-80,,,,,,,,,,,,,,
13,-85,,,-78,,,,,,,-72,-78,,,
9,-97,,,,-76,,,-89,-71,-92,,,-94,,
18,-86,,,,,,-80,,,,,,-76,-82,-78
18,-86,,,,,,-80,,,,,,-76,-82,-78
16,-79,,,,-88,-92,-82,-90,-68,-86,,,-90,-92,-92
23,-84,,,,-94,,-92,,-73,-79,,,-74,,
6,-89,,,,,,-59,,,,,,,-89,
21,-92,,,,,,-72,,,,,,,,
1,,,,-88,,,,,,,-77,-88,,,
7,-74,,,,,,,,-91,,,,,,
4,,,,-87,,,,,,,-86,-94,,,
11,,,,,-97,,-92,-81,-93,,,,-81,,
3,,,,-79,,,,,,,,,,,
10,-77,,,,-87,-88,-77,-90,-78,-78,,,-86,,-89
2,,,,-76,,,,,,,,,,,
14,,,,,,,-80,,,,,,,,
19,-95,,,,,,-80,,,,,,,,-86
22,-93,,,,-89,,,,-96,-90,,,-63,,
20,,,-81,,,,,,,,,,,,
8,,,,,-73,,,-72,-81,,,,-83,,
9,-87,,,,-80,,,-83,-56,-92,,,-96,,
20,,,-81,,,,,,,,,,,,
6,-87,,,,,-93,-61,,-94,,,,-92,,-80
21,,,,,,,-74,,,,,,,,
16,-85,,,,-88,-89,-75,-92,-72,-81,,,-80,-92,-96
15,-96,,,-81,,,,,,,-81,-87,,,
23,-81,,,,-91,,,-87,-82,-82,,,-71,,
4,,,,-86,,,,,,,-93,-86,,,
7,-79,,-93,,,,,,-93,,,,,,
3,,,,-68,,,,,,,,,,,
5,-82,,,,,,,,,,,,,,
13,-84,-94,,-76,,,,,,,-73,-85,,,
18,,,,,,,-80,,,,,,-82,-77,
2,,,,-71,,,,,,,,,,,
18,,,,,,,-80,,,,,,-82,-77,
19,,,,,,,-84,,,,,,,-91,-85
1,-90,,,-89,,,,,,,-69,-90,,,
9,-88,,,,-78,,,-86,-95,-89,,,-84,,
11,,,,,,,,-80,-88,,,,-74,,
6,,,,,,,,,-92,,,,,,-84
16,-86,,,,-90,-83,-74,-93,-71,-84,,,-80,-92,-96
10,-86,,,,-84,-92,-75,-90,-77,-75,,,-70,,-93
3,,,,-70,,,,,,,,,,,
23,-80,,,,-93,,,-89,-79,-84,,,-68,,
21,,,,,,,-73,,,,,,,,
4,,,,-83,,,,,,,-87,-87,,,
7,-77,,,,,,,,-93,,,,,,
14,,,,,,,-80,,,,,,,,
20,-86,,-81,,,,,,,,,,,,
20,-86,,-81,,,,,,,,,,,,
2,,,,-82,,,,,,,,,,,
19,,,,,,,-82,,,,,,,-91,-86
6,,,,,,,-56,,,,,,-89,,-90
9,-88,,,,-78,,,-85,-60,,,,-84,,
8,,,,,-67,,,-70,-77,,,,-78,,
5,-80,,,,,,,,,,,,,,
16,-86,,,,-89,-87,-74,-89,-69,-86,,,-81,-92,-96
3,,,,-65,,,,,,,,-95,,,
21,,,,,,,,,,,,,,,
23,-77,,,,-91,,,-90,-75,-83,,,-75,,
13,-86,,,-79,,,,,,,-78,-80,,,
4,,,,-84,,,,,,,-84,-87,,,
18,,,,,,,,,-89,,,,-78,-78,-87
22,,,,,,,,-88,,-97,,,-75,,
15,-90,,,-83,,,,,,,-87,-92,,,
1,-84,,,,,,,,,,-76,,,,
7,-80,,,,,,,,,,,,,,
18,,,,,,,,,-89,,,,-78,-78,-87
11,,,,,-93,,,-78,-89,,,,-72,,
2,,,,-80,,,,,,,,,,,
10,-76,,,,-91,-83,-76,-93,-77,-92,,,-77,,
6,,,,,,,,,,,,,,,
9,-89,,,,-78,,,-88,-59,-93,,,-87,,
14,,,,,,,-81,,,,,,,,
19,,,,,,,-82,,,,,,,,-75
3,,,,-61,,,,,,,,,,,
20,-84,,-77,,,,,,,,,,,,
16,-85,,,,-90,-83,-74,-91,-68,-84,,,-85,-92,-96
21,,,,,,,-82,,,,,,,,-91
23,-76,,,,-93,,-95,-91,-73,-78,,,-72,,
7,-78,,,,,,,,-89,,,,,,
20,-84,,-77,,,,,,,,,,,,
4,,,,-87,,,,,,,-83,,,,
5,-83,,,,,,,,,,,,,,
2,,,,-73,,,,,,,,,,,
6,-90,,,,,,,,,,,,,,
13,-86,,,-79,,,,,,,-74,-77,,,
3,,,,-65,,,,,,,,,,,
9,-95,,,,-80,,,-85,-66,-89,,,-89,,
19,,,,,,,-91,,,,,,,-90,-90
18,,,,,,,,,-93,,,,-81,-78,-85
1,-82,,,,,,,,,,-78,,,,
21,,,,,,,-76,,,,,,,,
16,-83,,,,-87,-90,-86,-91,-73,-84,,,-83,-92,-96
8,,,,,-70,,,-77,-81,,,,-80,,
18,,,,,,,,,-93,,,,-81,-78,-85
