Group,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15
3,,,,-73,,,,,,,,,,,
18,,,,,,,,,,,,,,,
11,-92,,,,,,,-84,,-91,,,-84,,
6,-93,,,,,,-64,,,,,,,,
15,-90,,,-79,,,,,,,-85,-86,,,
21,,,,,,,-65,,,,,,,,
16,-80,,,,,-90,-83,-98,-78,-88,,,-91,,-90
1,-91,,,-83,,,,,,,-77,-89,,,
23,-77,,,,-90,,-91,-94,-84,-80,,,-69,,
9,-81,,,,-90,,-95,-86,-70,-79,,,-88,,
13,-84,-92,,-77,,,,,,,-72,-92,,,
14,,,,,,,-80,,,,,,,,
3,,,,-72,,,,,,,,,,,
2,,,,-67,,,,,,,,,,,
7,-84,,,,,,,,,,,,,,
4,,,,-86,,,,,,,-92,-93,,,
20,,,-81,,,,,,,,,,,,
19,,,,,,,-78,,,,,,,,-81
8,,,,,-78,,,-70,-72,,,,-71,,
6,,,,,,,-71,,-93,,,,,-93,
20,,,-81,,,,,,,,,,,,
21,-88,,,,,,-64,,,,,,,,
5,-85,,,,,,,,,,,,,,
16,-86,,,,,-88,-79,-98,-77,-92,,,-91,,-89
10,-80,,,,-92,,-79,-93,-74,-84,,,-90,,
18,,,,,,,-88,,,,,,,,
23,-83,,,,-88,,-90,-98,-80,-79,,,-72,,
9,-86,,,,-88,,,-89,-57,-86,,,,,
18,,,,,,,-88,,,,,,,,
2,-91,,,-71,,,,,,,,,,,
3,,,,-73,,,,,,,,,,,
11,,,,,,,-90,-81,-89,,,,-76,,
7,-80,,,,,,,,,,,,,,
4,,,,-85,,,,,,,-85,-86,,,
19,,,,,,,-87,,,,,,,,-84
6,,,,,,,-61,,,,,,,,-83
21,,,,,,,-70,,,,,,,,
1,-94,,,-84,,,,,,,-83,-88,,,
16,-83,,,,,-88,-74,-98,-81,-90,,,-91,,-96
14,,,,,,,-79,,,,,,,,
13,-85,-97,,-87,,,,,-91,,-77,-79,,,
15,-85,,,-80,,,,,,,-84,-92,,,
23,-87,,,,-91,,-92,,-75,-82,,,-70,,
20,-83,,-83,,,,,,,,,,,,
9,-85,,,,-86,,,-86,-56,-90,,,-91,,
3,,,,-74,,,,,,,,,,,
2,,,,-68,,,,,,,,,,,
20,-83,,-83,,,,,,,,,,,,
7,,,,,,,,,,,,,,,
4,,,,-87,,,,,,,-84,,,,
6,,,,,,,-57,,,,,,,,
5,-83,,,,,,,,,,,,,,
10,-73,,,,-93,-88,-81,,-74,,,,-83,,
19,,,,,,,-85,,,,,,,,-78
18,-88,,,,,,-84,,,,,,-77,,
8,,,,,-76,,,-71,-79,,,,-73,,
18,-88,,,,,,-84,,,,,,-77,,
21,,,,,,,-73,,,,,,,,
11,,,,,,,,-83,-91,-95,,,-74,,
3,,,,-75,,,,,,,,,,,
23,-80,,,,-90,,-90,-91,-89,-79,,,-76,,
9,-81,,,,-81,,-92,-86,-56,-85,,,-87,,
2,,,,-64,,,,,,,,,,,
1,-89,,,-83,,,,,,,-75,-89,,,
6,-94,,,,,,-54,,,,,,-92,-87,-79
4,,,,-92,,,,,,,-81,-85,,,
14,,,,,,,-83,,,,,,,,
13,-80,,,-78,,,,,,,-72,-81,,,
19,,,,,,,-83,,,,,,-94,,-84
7,-76,,,,,,,,,,,,,,
3,,,,-71,,,,,,,,,,,
23,-87,,,,-90,,-86,-92,-75,-78,,,-78,,
5,-79,,,,,,,,,,,,,,
9,-84,,,,-85,,,-86,-58,-81,,,-91,,
10,-77,,,,,-75,-74,-95,-74,-88,,,-86,,
15,-92,,,-82,,,,,,,-82,-88,,,
6,,,,,,,-74,,,,,,-91,,
18,,,,,,,-76,,,,,,-74,-76,
7,-88,,,,,,,,,,,,,,
2,,,,-73,,,,,,,,,,,
4,,,,-89,,,,,,,-88,-85,,,
21,,,,,,,-68,,,,,,,,
18,,,,,,,-76,,,,,,-74,-76,
20,,,-81,,,,,,,,,,,,
20,,,-81,,,,,,,,,,,,
11,,,,,,,-92,-82,-92,-94,,,-72,,
19,,,,,,,-90,,,,,,,,-83
1,,,,-86,,,,,,,-83,-96,,,
8,,,,,-75,,,-69,-70,,,,-70,,
21,,,,,,,,,,,,,,,
3,,,,-71,,,,,,,,,,,
23,,,,,-92,,-94,-94,-85,-82,,,-74,,
9,-81,,,,-86,,-97,-87,-58,-85,,,-90,,
2,,,,-78,,,,,,,,,,,
6,,,,,,,-74,,,,,,-90,,
16,-86,,,,,-90,-72,-93,-76,-85,,,-90,,-93
14,,,,,,,-78,,,,,,,,
13,-83,-89,,-77,,,,,-93,,-76,-82,,,
20,,,-84,,,,,,,,,,,,
7,-81,,,,,,,,,,,,,,
21,-93,,,,,,,,,,,,,,
4,,,,-89,,,,,,,-91,-92,,,
20,,,-84,,,,,,,,,,,,
5,-70,,,,,,,,-92,,,,,,
3,,,,-73,,,,,,,,,,,
19,,,,,,,-87,,,,,,,-96,-79
18,-89,,,,,,-75,,,,,,-80,-78,
23,-90,,,,-88,,-92,-89,-80,-79,,,-70,,
6,-91,,,,,,,,,,,,-90,,
9,-79,,,,-88,,-88,-91,-62,-83,,,-92,,
16,-82,,,,,-90,-80,-93,-82,-86,,,-90,,-93
18,-89,,,,,,-75,,,,,,-80,-78,
2,,,,-69,,,,,,,,,,,
11,-91,,,,-92,,-95,-82,,,,,-78,,
21,,,,,,,-72,,,,,,,,
7,-79,,-93,,,,,,,,,,,,
4,,,,-92,,,,,,,-86,-87,,,
1,-90,,,-92,,,,,,,-71,-88,,,
15,-82,,,-84,,,,,,,-86,-87,,,
3,,,,-75,,,,,,,,,,,
14,,,,,,,-82,,,,,,,-97,-97
20,,,-79,,,,,,,,,,,,
13,-87,-95,,-76,,,,,-92,,-72,-86,,,
19,,,,,,,-84,,,,,,,,-78
8,,,,,-77,,,-82,-79,,,,-71,,
6,,,,,,,-74,,,,,,,-85,-88
20,,,-79,,,,,,,,,,,,
23,-85,,,,-92,,-97,-92,-72,-78,,,-70,,
9,-82,,,,-84,,-92,-87,-62,-85,,,,,
2,,,,-62,,,,,,,,,,,
7,,,,,,,,,,,,,,,
5,-72,,,,,,,,,,,,,,
16,-91,,,,,-90,-82,-93,-79,-96,,,-94,,-93
4,,,,-84,,,,,,,-83,-88,,,
21,,,,,,,-77,,,,,,,,
3,,,,-76,,,,,,,,,,,
18,-91,,,,,,-77,,,,,,-84,-77,-90
11,-94,,,,,,,-86,,-92,,,-71,,
18,-91,,,,,,-77,,,,,,-84,-77,-90
6,,,,,,,-72,,,,,,,-83,-81
10,-78,,,,,-95,-80,,-71,-94,,,-89,,
1,-85,,,-88,,,,,,,-79,-88,,,
23,-79,,,,-89,,,-89,-73,-79,,,-73,,
9,-84,,,,-85,,-95,-85,-62,-80,,,-92,,
16,-78,,,,,-90,-72,-93,-82,-96,,,-94,,-93
10,-75,,,,,-94,-81,,-71,-91,,,-86,,
2,,,,-74,,,,,,,,,,,
7,-81,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,
4,,,,-88,,,,,,,-86,-89,,,
3,,,,-83,,,,,,,,,,,
20,,,-79,,,,,,,,,,,,
14,,,,,,,-77,,,,,,,,
13,-83,,,-77,,,,,,,-73,-78,,,
19,,,,,,,-88,,,,,,,,-77
20,,,-79,,,,,,,,,,,,
15,-84,,,-83,,,,,,,-83,-88,,,
6,-92,,,,,,-66,,,,,,-91,-82,
10,-75,,,,,-85,-75,,-78,,,,-82,,
16,-75,,,,,-90,-86,-93,-78,-96,,,-91,,-96
5,-83,,,,,,,,,,,,,,
8,,,,,-75,,,-67,-69,,,,-75,,
23,-85,,,,-86,,-92,-93,-74,-82,,,-70,,
9,-84,,,,-87,,-92,-83,-63,-81,,,,,
2,,,,-70,,,,,,,,,,,
3,,,,-81,,,,,,,,,,,
7,-81,,,,,,,,,,,,,,
21,,,,,,,-76,,,,,,,,
18,-85,,,,,,,,,,,,-90,-73,-82
4,,,,-85,,,,,,,-91,-89,,,
11,-95,,,,,,-94,-86,-90,,,,-76,,
18,-85,,,,,,,,,,,,-90,-73,-82
1,-93,,,-87,,,,,,,-69,-90,,,
6,-90,,,,,,,,,,,,,-84,-81
19,,,,,,,-89,,,,,,,,-76
16,-82,,,,,-93,-78,-93,-82,-87,,,-91,,-95
23,-86,,,,-86,,-89,-87,-73,-88,,,-75,,
9,-83,,,,-89,,,-84,-96,-85,,,-87,,
20,-82,,-81,,,,,,,,,,,,
14,,,,,,,-77,,,,,,,,
2,,,,-71,,,,,,,,,,,
19,,,,,,,-84,,,,,,,,-80
13,-82,-95,,-77,,,,,,,-77,-84,,,
3,,,,-81,,,,,,,,,,,
21,,,,,,,-78,,,,,,,,
