Group,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10
2,-200,-200,-200,-64,-200,-200,-200,-200,-200,-200
1,-89,-200,-200,-83,-200,-200,-200,-200,-200,-200
6,-94,-200,-200,-200,-200,-200,-54,-200,-200,-200
4,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200
14,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200
13,-80,-200,-200,-78,-200,-200,-200,-200,-200,-200
19,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200
7,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
3,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200
23,-87,-200,-200,-200,-90,-200,-86,-92,-75,-78
5,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
9,-84,-200,-200,-200,-85,-200,-200,-86,-58,-81
10,-77,-200,-200,-200,-200,-75,-74,-95,-74,-88
15,-92,-200,-200,-82,-200,-200,-200,-200,-200,-200
6,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200
18,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200
7,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
2,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200
4,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200
21,-200,-200,-200,-200,-200,-200,-68,-200,-200,-200
18,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200
20,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
20,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
11,-200,-200,-200,-200,-200,-200,-92,-82,-92,-94
19,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200
1,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200
8,-200,-200,-200,-200,-75,-200,-200,-69,-70,-200
21,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
3,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200
23,-200,-200,-200,-200,-92,-200,-94,-94,-85,-82
9,-81,-200,-200,-200,-86,-200,-97,-87,-58,-85
2,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200
6,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200
16,-86,-200,-200,-200,-200,-90,-72,-93,-76,-85
14,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200
13,-83,-89,-200,-77,-200,-200,-200,-200,-93,-200
20,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200
7,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200
21,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
4,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200
20,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200
5,-70,-200,-200,-200,-200,-200,-200,-200,-92,-200
3,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200
19,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200
18,-89,-200,-200,-200,-200,-200,-75,-200,-200,-200
23,-90,-200,-200,-200,-88,-200,-92,-89,-80,-79
6,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
9,-79,-200,-200,-200,-88,-200,-88,-91,-62,-83
16,-82,-200,-200,-200,-200,-90,-80,-93,-82,-86
18,-89,-200,-200,-200,-200,-200,-75,-200,-200,-200
2,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200
11,-91,-200,-200,-200,-92,-200,-95,-82,-200,-200
21,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200
7,-79,-200,-93,-200,-200,-200,-200,-200,-200,-200
4,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200
1,-90,-200,-200,-92,-200,-200,-200,-200,-200,-200
15,-82,-200,-200,-84,-200,-200,-200,-200,-200,-200
3,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200
14,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200
20,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200
13,-87,-95,-200,-76,-200,-200,-200,-200,-92,-200
19,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200
8,-200,-200,-200,-200,-77,-200,-200,-82,-79,-200
6,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200
20,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200
23,-85,-200,-200,-200,-92,-200,-97,-92,-72,-78
9,-82,-200,-200,-200,-84,-200,-92,-87,-62,-85
2,-200,-200,-200,-62,-200,-200,-200,-200,-200,-200
7,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
5,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
16,-91,-200,-200,-200,-200,-90,-82,-93,-79,-96
4,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200
21,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200
3,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200
18,-91,-200,-200,-200,-200,-200,-77,-200,-200,-200
11,-94,-200,-200,-200,-200,-200,-200,-86,-200,-92
18,-91,-200,-200,-200,-200,-200,-77,-200,-200,-200
6,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200
10,-78,-200,-200,-200,-200,-95,-80,-200,-71,-94
1,-85,-200,-200,-88,-200,-200,-200,-200,-200,-200
23,-79,-200,-200,-200,-89,-200,-200,-89,-73,-79
9,-84,-200,-200,-200,-85,-200,-95,-85,-62,-80
16,-78,-200,-200,-200,-200,-90,-72,-93,-82,-96
10,-75,-200,-200,-200,-200,-94,-81,-200,-71,-91
2,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200
7,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200
21,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
4,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200
3,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200
20,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200
14,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200
13,-83,-200,-200,-77,-200,-200,-200,-200,-200,-200
19,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200
20,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200
15,-84,-200,-200,-83,-200,-200,-200,-200,-200,-200
6,-92,-200,-200,-200,-200,-200,-66,-200,-200,-200
10,-75,-200,-200,-200,-200,-85,-75,-200,-78,-200
16,-75,-200,-200,-200,-200,-90,-86,-93,-78,-96
5,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
8,-200,-200,-200,-200,-75,-200,-200,-67,-69,-200
23,-85,-200,-200,-200,-86,-200,-92,-93,-74,-82
9,-84,-200,-200,-200,-87,-200,-92,-83,-63,-81
2,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200
3,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200
7,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200
21,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200
18,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
4,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200
11,-95,-200,-200,-200,-200,-200,-94,-86,-90,-200
18,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1,-93,-200,-200,-87,-200,-200,-200,-200,-200,-200
6,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
19,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200
16,-82,-200,-200,-200,-200,-93,-78,-93,-82,-87
23,-86,-200,-200,-200,-86,-200,-89,-87,-73,-88
9,-83,-200,-200,-200,-89,-200,-200,-84,-96,-85
20,-82,-200,-81,-200,-200,-200,-200,-200,-200,-200
14,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200
2,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200
19,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200
13,-82,-95,-200,-77,-200,-200,-200,-200,-200,-200
3,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200
21,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200
20,-82,-200,-81,-200,-200,-200,-200,-200,-200,-200
7,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
4,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200
10,-85,-200,-200,-200,-200,-91,-82,-200,-74,-92
6,-93,-200,-200,-200,-200,-200,-74,-200,-200,-200
5,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200
16,-76,-200,-200,-200,-200,-93,-82,-93,-81,-89
15,-81,-200,-200,-86,-200,-200,-200,-200,-200,-200
18,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
23,-80,-200,-200,-200,-86,-200,-200,-200,-73,-84
9,-78,-200,-200,-200,-85,-200,-92,-200,-55,-84
11,-91,-200,-200,-200,-200,-200,-99,-84,-92,-200
2,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200
8,-200,-200,-200,-200,-71,-200,-200,-75,-78,-200
3,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200
21,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200
1,-90,-200,-200,-90,-200,-200,-200,-200,-200,-200
18,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
7,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200
4,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200
6,-88,-200,-200,-200,-200,-200,-66,-200,-200,-200
20,-83,-200,-83,-200,-200,-200,-200,-200,-200,-200
14,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200
13,-89,-200,-200,-85,-200,-200,-200,-200,-93,-200
19,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200
16,-83,-200,-200,-200,-200,-93,-80,-93,-88,-87
20,-83,-200,-83,-200,-200,-200,-200,-200,-200,-200
3,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200
23,-78,-200,-200,-200,-87,-200,-200,-200,-85,-87
9,-80,-200,-200,-200,-84,-200,-93,-87,-56,-81
2,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200
19,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200
10,-78,-200,-200,-200,-200,-91,-82,-200,-79,-90
21,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200
5,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200
7,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
4,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200
6,-89,-200,-200,-200,-200,-200,-67,-200,-200,-200
18,-200,-200,-200,-200,-200,-200,-86,-200,-89,-200
11,-91,-200,-200,-200,-200,-200,-92,-83,-93,-89
1,-86,-200,-200,-84,-200,-200,-200,-200,-200,-200
18,-200,-200,-200,-200,-200,-200,-86,-200,-89,-200
3,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200
16,-80,-200,-200,-200,-200,-93,-77,-93,-82,-85
23,-79,-200,-200,-200,-88,-200,-92,-92,-200,-81
9,-80,-200,-200,-200,-91,-200,-90,-88,-96,-83
2,-200,-200,-200,-60,-200,-200,-200,-200,-200,-200
15,-88,-200,-200,-84,-200,-200,-200,-200,-200,-200
19,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200
8,-200,-200,-200,-200,-81,-200,-200,-72,-83,-200
6,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200
20,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
7,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
14,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200
4,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200
21,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200
20,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
13,-86,-200,-200,-81,-200,-200,-200,-200,-200,-200
10,-72,-200,-200,-200,-200,-91,-75,-200,-80,-89
16,-94,-200,-200,-200,-200,-93,-76,-93,-79,-86
3,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200
5,-81,-200,-200,-200,-200,-200,-200,-200,-92,-200
21,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200
23,-79,-200,-200,-200,-86,-200,-93,-200,-73,-84
9,-82,-200,-200,-200,-90,-200,-97,-82,-56,-84
2,-200,-200,-200,-65,-200,-200,-200,-200,-200,-200
6,-90,-200,-200,-200,-200,-200,-62,-200,-200,-200
7,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
19,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200
11,-200,-200,-200,-200,-200,-200,-200,-83,-94,-200
18,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200
4,-92,-200,-200,-91,-200,-200,-200,-200,-200,-200
1,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200
18,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200
3,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200
20,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
21,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200
16,-94,-200,-200,-200,-200,-93,-71,-93,-88,-99
14,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200
23,-82,-200,-200,-200,-86,-200,-90,-92,-73,-84
9,-82,-200,-200,-200,-82,-200,-95,-87,-62,-84
13,-80,-97,-200,-80,-200,-200,-200,-200,-92,-200
20,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
6,-89,-200,-200,-200,-200,-200,-62,-200,-200,-200
2,-200,-200,-200,-60,-200,-200,-200,-200,-200,-200
7,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
8,-200,-200,-200,-200,-76,-200,-200,-67,-81,-200
19,-92,-200,-200,-200,-200,-200,-88,-200,-200,-200
4,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200
10,-76,-200,-200,-200,-200,-83,-85,-200,-79,-200
15,-90,-200,-200,-81,-200,-200,-200,-200,-200,-200
5,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
3,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200
11,-200,-200,-200,-200,-92,-200,-200,-85,-200,-200
6,-95,-200,-200,-200,-200,-200,-54,-200,-200,-200
1,-84,-200,-200,-89,-200,-200,-200,-200,-200,-200
18,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200
23,-78,-200,-200,-200,-87,-200,-92,-92,-82,-81
9,-85,-200,-200,-200,-94,-200,-200,-90,-62,-80
2,-200,-200,-200,-49,-200,-200,-200,-200,-200,-200
18,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200
7,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
16,-80,-200,-200,-200,-200,-93,-74,-93,-91,-99
21,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200
4,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200
19,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200
